t,S_as_x,S_as_y,S_as_z,S_as_vx,S_as_vy,S_as_vz,S_meas_x,S_meas_y,S_meas_z,S_meas_vx,S_meas_vy,S_meas_vz,T_x,T_y,T_z,T_vx,T_vy,T_vz,dist_ue,mode,rdot
0.000,0.253,-0.011,-0.698,0.017,-0.001,0.014,0.253,-0.011,-0.698,-0.983,-1.001,0.014,20.018,-0.001,-0.199,0.000,0.000,0.000,19.822,PURSUIT,-0.018
0.055,0.254,-0.011,-0.697,0.012,-0.000,0.033,0.254,-0.011,-0.697,-0.988,-1.000,0.033,20.028,-0.001,-0.222,0.091,0.001,-0.207,19.829,PURSUIT,0.073
0.108,0.254,-0.011,-0.693,0.018,-0.004,0.160,0.254,-0.011,-0.693,-0.982,-1.004,0.160,20.052,0.001,-0.259,0.269,0.019,-0.445,19.850,PURSUIT,0.238
0.161,0.257,-0.012,-0.687,0.109,-0.034,0.003,0.257,-0.012,-0.687,-0.891,-1.034,0.003,20.082,0.005,-0.296,0.419,0.046,-0.575,19.873,PURSUIT,0.299
0.213,0.268,-0.015,-0.694,0.316,-0.052,-0.251,0.268,-0.015,-0.694,-0.684,-1.052,-0.251,20.145,0.015,-0.362,0.808,0.118,-0.919,19.922,PURSUIT,0.481
0.268,0.293,-0.018,-0.715,0.617,-0.057,-0.531,0.293,-0.018,-0.715,-0.383,-1.057,-0.531,20.219,0.029,-0.431,1.084,0.181,-1.086,19.971,PURSUIT,0.460
0.322,0.336,-0.021,-0.751,0.977,-0.054,-0.801,0.336,-0.021,-0.751,-0.023,-1.054,-0.801,20.326,0.049,-0.520,1.537,0.283,-1.370,20.031,PURSUIT,0.555
0.376,0.399,-0.023,-0.801,1.376,-0.044,-1.059,0.399,-0.023,-0.801,0.376,-1.044,-1.059,20.451,0.075,-0.615,1.913,0.377,-1.558,20.091,PURSUIT,0.534
0.430,0.485,-0.025,-0.865,1.801,-0.031,-1.304,0.485,-0.025,-0.865,0.801,-1.031,-1.304,20.609,0.109,-0.727,2.427,0.506,-1.826,20.157,PURSUIT,0.626
0.484,0.594,-0.027,-0.942,2.243,-0.015,-1.539,0.594,-0.027,-0.942,1.243,-1.015,-1.539,20.784,0.148,-0.845,2.848,0.621,-2.010,20.220,PURSUIT,0.609
0.542,0.735,-0.027,-1.037,2.720,0.004,-1.778,0.735,-0.027,-1.037,1.720,-0.996,-1.778,20.994,0.198,-0.978,3.216,0.731,-2.147,20.287,PURSUIT,0.503
0.595,0.895,-0.026,-1.139,3.180,0.025,-1.998,0.895,-0.026,-1.139,2.180,-0.975,-1.998,21.216,0.252,-1.114,3.720,0.881,-2.364,20.350,PURSUIT,0.552
0.648,1.079,-0.024,-1.252,3.642,0.048,-2.211,1.079,-0.024,-1.252,2.642,-0.952,-2.211,21.433,0.307,-1.242,3.915,0.961,-2.395,20.403,PURSUIT,0.288
0.702,1.288,-0.021,-1.377,4.103,0.072,-2.416,1.288,-0.021,-1.377,3.103,-0.928,-2.416,21.697,0.376,-1.394,4.393,1.122,-2.597,20.460,PURSUIT,0.310
0.756,1.522,-0.016,-1.513,4.562,0.098,-2.611,1.522,-0.016,-1.513,3.562,-0.902,-2.611,21.964,0.450,-1.544,4.659,1.237,-2.679,20.470,PURSUIT,0.122
0.811,1.780,-0.010,-1.659,5.015,0.126,-2.792,1.780,-0.010,-1.659,4.015,-0.874,-2.792,22.299,0.546,-1.727,5.392,1.499,-3.021,20.561,PURSUIT,0.415
0.864,2.063,-0.003,-1.815,5.464,0.156,-2.967,2.063,-0.003,-1.815,4.464,-0.844,-2.967,22.600,0.637,-1.890,5.500,1.594,-3.022,20.599,PURSUIT,0.081
